PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
870.881672,767.6253817,767.6253817,767.6253817,990.9186343,990.9186343,1077.441298,1191.885668,1191.885668,1053.811737,1053.811737,889.1293655
872.536891,767.4173813,767.4173813,767.4173813,992.8019985,992.8019985,1079.48911,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.5910515,767.3133811,767.3133811,767.3133811,991.7257904,991.7257904,1078.318932,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
872.0639713,767.1053808,767.1053808,767.1053808,992.2638945,992.2638945,1078.904021,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
871.8275115,767.4173813,767.4173813,767.4173813,991.9948425,991.9948425,1078.611476,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.5910515,767.4173813,767.4173813,767.4173813,991.7257904,991.7257904,1078.318932,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
870.881672,767.3133811,767.3133811,767.3133811,990.9186343,990.9186343,1077.441298,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.1181318,767.0013806,767.0013806,767.0013806,991.1876864,991.1876864,1077.733843,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
871.3545917,767.4173813,767.4173813,767.4173813,991.4567384,991.4567384,1078.026387,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.3545917,767.5213815,767.5213815,767.5213815,991.4567384,991.4567384,1078.026387,1191.724188,1191.724188,1053.668964,1053.668964,889.0089036
869.9358326,767.1053808,767.1053808,767.1053808,989.8424262,989.8424262,1076.27112,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
870.881672,767.3133811,767.3133811,767.3133811,990.9186343,990.9186343,1077.441298,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
871.1181318,767.3133811,767.3133811,767.3133811,991.1876864,991.1876864,1077.733843,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
869.4629128,767.3133811,767.3133811,767.3133811,989.3043221,989.3043221,1075.686032,1191.401228,1191.401228,1053.383417,1053.383417,888.7679798
870.881672,767.0013806,767.0013806,767.0013806,990.9186343,990.9186343,1077.441298,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
871.3545917,767.1053808,767.1053808,767.1053808,991.4567384,991.4567384,1078.026387,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
870.6452121,766.8973804,766.8973804,766.8973804,990.6495823,990.6495823,1077.148754,1190.755307,1190.755307,1052.812322,1052.812322,888.2861321
870.881672,767.209381,767.209381,767.209381,990.9186343,990.9186343,1077.441298,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
870.881672,767.4173813,767.4173813,767.4173813,990.9186343,990.9186343,1077.441298,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
871.3545917,767.0013806,767.0013806,767.0013806,991.4567384,991.4567384,1078.026387,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
870.881672,767.209381,767.209381,767.209381,990.9186343,990.9186343,1077.441298,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.5910515,767.1053808,767.1053808,767.1053808,991.7257904,991.7257904,1078.318932,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
870.6452121,767.0013806,767.0013806,767.0013806,990.6495823,990.6495823,1077.148754,1190.916787,1190.916787,1052.955096,1052.955096,888.406594
870.4087523,766.5853798,766.5853798,766.5853798,990.3805303,990.3805303,1076.856209,1190.270865,1190.270865,1052.384002,1052.384002,887.9247464
870.881672,767.4173813,767.4173813,767.4173813,990.9186343,990.9186343,1077.441298,1191.562708,1191.562708,1053.52619,1053.52619,888.8884417
870.6452121,766.68938,766.68938,766.68938,990.6495823,990.6495823,1077.148754,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
870.6452121,767.1053808,767.1053808,767.1053808,990.6495823,990.6495823,1077.148754,1191.078267,1191.078267,1053.097869,1053.097869,888.527056
870.6452121,767.209381,767.209381,767.209381,990.6495823,990.6495823,1077.148754,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
871.3545917,766.4813796,766.4813796,766.4813796,991.4567384,991.4567384,1078.026387,1190.109385,1190.109385,1052.241228,1052.241228,887.8042845
870.6452121,767.209381,767.209381,767.209381,990.6495823,990.6495823,1077.148754,1191.239748,1191.239748,1053.240643,1053.240643,888.6475179
870.6452121,766.68938,766.68938,766.68938,990.6495823,990.6495823,1077.148754,1190.432346,1190.432346,1052.526775,1052.526775,888.0452083
